1	U.S. economy grew at unrevised 4.2% pace in second quarter. The U.S. economy grew in the second quarter at an unrevised 4.2 per cent pace, the fastest since late 2014, indicating a solid foundation for this quarter, Commerce Department data showed Thursday.
-1	Alberta government focuses on high debt, not improved deficit, revenue numbers in Q1 update. Government says debt would have been $120B by 2024 under previous NDP plan
0	Statistics are great unless they measure the wrong things: Don Pittis. Statistics Canada looks to Big Data to size up Canadians, but are the numbers biased?
0	Vancouver needs 10,000 affordable housing units a year to address rental 'backlog,' report advises. There‚Äôs a mismatch between what‚Äôs being built and what renters need, says economist Mark Lee
-1	U.S. fourth-quarter GDP revisions show weaker underlying demand. Upwardly revised contributions from trade and inventories kept gross domestic product expanding at a solid 2.1 per cent annualized rate in the fourth quarter, matching estimates for no revision of the initially reported rate, Commerce Department data showed Thursday.
1	The Toronto Raptors' NBA playoff run helped boost retail sales in Canada in June. Canadian retail sales beat forecasts in June, keeping the economy on track for what's anticipated to have been a strong second quarter of growth
0	Russia cuts off oil supplies to Belarus as economic talks collapse. Belarus relies on Russia for 80% of energy needs, hosts pipeline that Russia uses to export oil
-1	It's been tough': Edmonton's job market limps into new year. I'm beginning to see now that the statistics ring true so it's been tough'
0	Two more months of traffic pain until CN finishes rail bridge replacement. Local councillor says while project is on schedule, police are ticketing for 'dumb driving behaviour'
0	Why the Canadian economy seems divorced from traditional signals: Don Pittis. With housing and oil off the boil, why hasn't the Canadian economy gone into free fall?
-1	"China economic growth slows more than expected in third quarter. China’s economic growth slowed more than expected in the third quarter, as weak industrial output data and what the government called the ""severe international situation"" challenged efforts to stabilize the economy and reach its growth targets."
-1	PBO forecasts slower growth and deeper federal deficits. PBO cites weaker exports because of trade disputes and protectionism
0	P.E.I. announces $4.7M to tackle potato surplus related to COVID-19 market conditions. This will help to ensure no product is lost so that farmers are in good position for the 2020 growing season'
1	Trump predicts data will show U.S. economy in ‘terrific’ shape. U.S. President Donald Trump predicted data on Friday will show the U.S. economy is in “terrific” shape amid forecasts that growth topped 4 per cent in the second quarter, the fastest since 2014.
1	U.S. GDP grows above-forecast 2.6% as business spending picks up. The U.S. economy cooled by less than expected last quarter as business investment picked up, suggesting growth could be stronger for longer as the Federal Reserve takes a patient approach to interest rates.
0	P.E.I. announces $4.7M to tackle potato surplus related to COVID-19 market conditions. This will help to ensure no product is lost so that farmers are in good position for the 2020 growing season'
1	Canada's economy grew 0.1% in August, Statistics Canada reports. Gross domestic product edged up slightly, but fell short of expectations
-1	Canada's economy slows even as business investment perks up. Canada’s economy slowed sharply in the third quarter, as a drop in exports and draw down in business inventories masked a rebound in domestic demand.
1	U.S. economy grew at unrevised 4.2% pace in second quarter. The U.S. economy grew in the second quarter at an unrevised 4.2 per cent pace, the fastest since late 2014, indicating a solid foundation for this quarter, Commerce Department data showed Thursday.
-1	Global economy hits its weakest spell since financial crisis. The global economy’s sharp loss of speed through 2018 has left the pace of expansion the weakest since the global financial crisis a decade ago, according to Bloomberg Economics.
